,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,
0,andaman-&-nicobar-islands,2018,1,744101,1622,2769297.904,"insert into top_trans values (0,'andaman-&-nicobar-islands',2018,1,744101,1622,2769297.90399979);"
1,andaman-&-nicobar-islands,2018,1,744103,1223,2238041.872,"insert into top_trans values (1,'andaman-&-nicobar-islands',2018,1,744103,1223,2238041.87161246);"
2,andaman-&-nicobar-islands,2018,1,744102,969,3519059.938,"insert into top_trans values (2,'andaman-&-nicobar-islands',2018,1,744102,969,3519059.93756244);"
3,andaman-&-nicobar-islands,2018,1,744105,685,1298560.952,"insert into top_trans values (3,'andaman-&-nicobar-islands',2018,1,744105,685,1298560.95155035);"
4,andaman-&-nicobar-islands,2018,1,744104,340,1039715.311,"insert into top_trans values (4,'andaman-&-nicobar-islands',2018,1,744104,340,1039715.31114505);"
5,andaman-&-nicobar-islands,2018,1,744107,302,556059.5309,"insert into top_trans values (5,'andaman-&-nicobar-islands',2018,1,744107,302,556059.530855634);"
6,andaman-&-nicobar-islands,2018,1,744301,283,445739.1634,"insert into top_trans values (6,'andaman-&-nicobar-islands',2018,1,744301,283,445739.163385143);"
7,andaman-&-nicobar-islands,2018,1,744112,269,333709.567,"insert into top_trans values (7,'andaman-&-nicobar-islands',2018,1,744112,269,333709.567004139);"
8,andaman-&-nicobar-islands,2018,1,744202,193,238914.0167,"insert into top_trans values (8,'andaman-&-nicobar-islands',2018,1,744202,193,238914.016671556);"
9,andaman-&-nicobar-islands,2018,1,744302,168,547469.6509,"insert into top_trans values (9,'andaman-&-nicobar-islands',2018,1,744302,168,547469.650938083);"
10,andaman-&-nicobar-islands,2018,2,744101,2701,6310089.917,"insert into top_trans values (10,'andaman-&-nicobar-islands',2018,2,744101,2701,6310089.91708467);"
11,andaman-&-nicobar-islands,2018,2,744103,1965,4752146.699,"insert into top_trans values (11,'andaman-&-nicobar-islands',2018,2,744103,1965,4752146.69850116);"
12,andaman-&-nicobar-islands,2018,2,744102,1525,5810267.575,"insert into top_trans values (12,'andaman-&-nicobar-islands',2018,2,744102,1525,5810267.57478832);"
13,andaman-&-nicobar-islands,2018,2,744105,997,2200332.972,"insert into top_trans values (13,'andaman-&-nicobar-islands',2018,2,744105,997,2200332.97186273);"
14,andaman-&-nicobar-islands,2018,2,744301,767,1953749.379,"insert into top_trans values (14,'andaman-&-nicobar-islands',2018,2,744301,767,1953749.37871992);"
15,andaman-&-nicobar-islands,2018,2,744104,659,1650346.191,"insert into top_trans values (15,'andaman-&-nicobar-islands',2018,2,744104,659,1650346.19065062);"
16,andaman-&-nicobar-islands,2018,2,744107,594,1601569.982,"insert into top_trans values (16,'andaman-&-nicobar-islands',2018,2,744107,594,1601569.9821441);"
17,andaman-&-nicobar-islands,2018,2,744112,432,578829.1795,"insert into top_trans values (17,'andaman-&-nicobar-islands',2018,2,744112,432,578829.179522959);"
18,andaman-&-nicobar-islands,2018,2,744202,405,626523.9803,"insert into top_trans values (18,'andaman-&-nicobar-islands',2018,2,744202,405,626523.98031479);"
19,andaman-&-nicobar-islands,2018,2,744302,291,1026590.074,"insert into top_trans values (19,'andaman-&-nicobar-islands',2018,2,744302,291,1026590.07358634);"
20,andaman-&-nicobar-islands,2018,3,744101,3462,10833893.44,"insert into top_trans values (20,'andaman-&-nicobar-islands',2018,3,744101,3462,10833893.4444887);"
21,andaman-&-nicobar-islands,2018,3,744103,3182,10184154.36,"insert into top_trans values (21,'andaman-&-nicobar-islands',2018,3,744103,3182,10184154.3585921);"
22,andaman-&-nicobar-islands,2018,3,744102,2224,10365275.48,"insert into top_trans values (22,'andaman-&-nicobar-islands',2018,3,744102,2224,10365275.4797007);"
23,andaman-&-nicobar-islands,2018,3,744105,1613,5152534.08,"insert into top_trans values (23,'andaman-&-nicobar-islands',2018,3,744105,1613,5152534.08040343);"
24,andaman-&-nicobar-islands,2018,3,744104,1029,2588077.687,"insert into top_trans values (24,'andaman-&-nicobar-islands',2018,3,744104,1029,2588077.68665839);"
25,andaman-&-nicobar-islands,2018,3,744301,975,4256576.35,"insert into top_trans values (25,'andaman-&-nicobar-islands',2018,3,744301,975,4256576.34961875);"
26,andaman-&-nicobar-islands,2018,3,744112,579,1145815.78,"insert into top_trans values (26,'andaman-&-nicobar-islands',2018,3,744112,579,1145815.78017051);"
27,andaman-&-nicobar-islands,2018,3,744107,547,1492405.303,"insert into top_trans values (27,'andaman-&-nicobar-islands',2018,3,744107,547,1492405.30286212);"
28,andaman-&-nicobar-islands,2018,3,744302,417,1976781.92,"insert into top_trans values (28,'andaman-&-nicobar-islands',2018,3,744302,417,1976781.91994903);"
29,andaman-&-nicobar-islands,2018,3,744202,341,2099404.079,"insert into top_trans values (29,'andaman-&-nicobar-islands',2018,3,744202,341,2099404.07898611);"
30,andaman-&-nicobar-islands,2018,4,744101,4674,16392855.28,"insert into top_trans values (30,'andaman-&-nicobar-islands',2018,4,744101,4674,16392855.2806253);"
31,andaman-&-nicobar-islands,2018,4,744103,4576,17022520.26,"insert into top_trans values (31,'andaman-&-nicobar-islands',2018,4,744103,4576,17022520.2576247);"
32,andaman-&-nicobar-islands,2018,4,744102,3306,17019977.18,"insert into top_trans values (32,'andaman-&-nicobar-islands',2018,4,744102,3306,17019977.1830536);"
33,andaman-&-nicobar-islands,2018,4,744105,2513,9935282.832,"insert into top_trans values (33,'andaman-&-nicobar-islands',2018,4,744105,2513,9935282.83215146);"
34,andaman-&-nicobar-islands,2018,4,744104,1432,6091757.917,"insert into top_trans values (34,'andaman-&-nicobar-islands',2018,4,744104,1432,6091757.91708915);"
35,andaman-&-nicobar-islands,2018,4,744211,1225,3451359.606,"insert into top_trans values (35,'andaman-&-nicobar-islands',2018,4,744211,1225,3451359.60602706);"
36,andaman-&-nicobar-islands,2018,4,744301,928,4606293.658,"insert into top_trans values (36,'andaman-&-nicobar-islands',2018,4,744301,928,4606293.65752564);"
37,andaman-&-nicobar-islands,2018,4,744112,759,2208675.044,"insert into top_trans values (37,'andaman-&-nicobar-islands',2018,4,744112,759,2208675.04357136);"
38,andaman-&-nicobar-islands,2018,4,744107,747,1825659.513,"insert into top_trans values (38,'andaman-&-nicobar-islands',2018,4,744107,747,1825659.51289789);"
39,andaman-&-nicobar-islands,2018,4,744202,702,3797054.168,"insert into top_trans values (39,'andaman-&-nicobar-islands',2018,4,744202,702,3797054.16776344);"
40,andaman-&-nicobar-islands,2019,1,744103,5742,19401964.78,"insert into top_trans values (40,'andaman-&-nicobar-islands',2019,1,744103,5742,19401964.7796575);"
41,andaman-&-nicobar-islands,2019,1,744101,5156,15501306.23,"insert into top_trans values (41,'andaman-&-nicobar-islands',2019,1,744101,5156,15501306.2271959);"
42,andaman-&-nicobar-islands,2019,1,744102,3925,16683547.09,"insert into top_trans values (42,'andaman-&-nicobar-islands',2019,1,744102,3925,16683547.0947957);"
43,andaman-&-nicobar-islands,2019,1,744105,3553,11588669.48,"insert into top_trans values (43,'andaman-&-nicobar-islands',2019,1,744105,3553,11588669.4803285);"
44,andaman-&-nicobar-islands,2019,1,744104,2833,9141657.22,"insert into top_trans values (44,'andaman-&-nicobar-islands',2019,1,744104,2833,9141657.21960507);"
45,andaman-&-nicobar-islands,2019,1,744211,1511,5794838.402,"insert into top_trans values (45,'andaman-&-nicobar-islands',2019,1,744211,1511,5794838.40183155);"
46,andaman-&-nicobar-islands,2019,1,744202,1112,3613381.295,"insert into top_trans values (46,'andaman-&-nicobar-islands',2019,1,744202,1112,3613381.294736);"
47,andaman-&-nicobar-islands,2019,1,744107,1029,3592930.298,"insert into top_trans values (47,'andaman-&-nicobar-islands',2019,1,744107,1029,3592930.29757792);"
48,andaman-&-nicobar-islands,2019,1,744301,920,4652963.411,"insert into top_trans values (48,'andaman-&-nicobar-islands',2019,1,744301,920,4652963.41114777);"
49,andaman-&-nicobar-islands,2019,1,744112,802,1893718.654,"insert into top_trans values (49,'andaman-&-nicobar-islands',2019,1,744112,802,1893718.65378221);"
50,andaman-&-nicobar-islands,2019,2,744104,6142,15625676.56,"insert into top_trans values (50,'andaman-&-nicobar-islands',2019,2,744104,6142,15625676.5608832);"
51,andaman-&-nicobar-islands,2019,2,744103,5847,23751450.07,"insert into top_trans values (51,'andaman-&-nicobar-islands',2019,2,744103,5847,23751450.0672069);"
